## Cluster data 
Fraction	Trial	Configuration #	#DDT	DDT Fraction	#PEG	PEG Fraction	Total Fraction of Surface Covered
0.10	2	7	[111]	[0.760]	[1, 1, 1, 1, 4, 1, 1, 2]	[0.008, 0.008, 0.008, 0.006, 0.028, 0.006, 0.006, 0.014]	0.8425
0.10	2	8	[111]	[0.765]	[1, 3, 1, 1, 2, 2, 1, 1]	[0.006, 0.019, 0.008, 0.006, 0.017, 0.011, 0.006, 0.008]	0.8453
0.10	2	9	[111]	[0.768]	[3, 2, 1, 1, 1, 1, 1, 1, 1]	[0.019, 0.014, 0.008, 0.008, 0.008, 0.006, 0.006, 0.008, 0.008]	0.8536
0.10	2	10	[111]	[0.765]	[1, 1, 1, 2, 1, 2, 1, 1, 1, 1]	[0.008, 0.008, 0.008, 0.014, 0.008, 0.011, 0.008, 0.008, 0.008, 0.006]	0.8536
0.10	3	1	[111]	[0.757]	[3, 1, 6, 1, 1]	[0.022, 0.008, 0.039, 0.008, 0.008]	0.8425
0.10	3	2	[111]	[0.757]	[1, 3, 1, 1, 1, 5]	[0.008, 0.025, 0.006, 0.008, 0.006, 0.033]	0.8425
0.10	3	3	[111]	[0.762]	[1, 1, 3, 1, 1, 5]	[0.008, 0.003, 0.025, 0.003, 0.006, 0.036]	0.8425
0.10	3	4	[111]	[0.765]	[1, 1, 1, 1, 5, 3]	[0.006, 0.003, 0.008, 0.008, 0.030, 0.025]	0.8453
0.10	3	5	[111]	[0.765]	[1, 1, 5, 1, 3, 1]	[0.008, 0.008, 0.028, 0.006, 0.025, 0.006]	0.8453
0.10	3	6	[111]	[0.762]	[4, 1, 3, 1, 1, 1, 1]	[0.025, 0.006, 0.025, 0.008, 0.003, 0.008, 0.008]	0.8453
0.10	3	7	[111]	[0.771]	[1, 1, 1, 3, 1, 5]	[0.006, 0.006, 0.006, 0.025, 0.008, 0.033]	0.8536
0.10	3	8	[111]	[0.768]	[3, 1, 1, 1, 1, 1, 4]	[0.025, 0.003, 0.008, 0.006, 0.006, 0.008, 0.028]	0.8508
0.10	3	9	[111]	[0.773]	[1, 1, 1, 1, 3, 4, 1]	[0.008, 0.003, 0.006, 0.006, 0.022, 0.025, 0.006]	0.8481
0.10	3	10	[111]	[0.751]	[1, 4, 1, 1, 3, 1, 1]	[0.003, 0.028, 0.008, 0.006, 0.022, 0.008, 0.008]	0.8343
0.10	4	1	[111]	[0.757]	[11, 1]	[0.075, 0.008]	0.8398
0.10	4	2	[111]	[0.773]	[11, 1]	[0.066, 0.008]	0.8481
0.10	4	3	[111]	[0.762]	[11, 1]	[0.072, 0.008]	0.8425
0.10	4	4	[111]	[0.773]	[12]	[0.077]	0.8508
0.10	4	5	[111]	[0.768]	[1, 10, 1]	[0.006, 0.064, 0.006]	0.8425
0.10	4	6	[111]	[0.765]	[8, 2, 1, 1]	[0.052, 0.011, 0.006, 0.006]	0.8398
0.10	4	7	[111]	[0.768]	[1, 2, 1, 8]	[0.006, 0.011, 0.006, 0.052]	0.8425
0.10	4	8	[111]	[0.749]	[1, 8, 1, 2]	[0.006, 0.058, 0.006, 0.011]	0.8287
0.10	4	9	[111]	[0.765]	[1, 2, 1, 8]	[0.006, 0.011, 0.006, 0.058]	0.8453
0.10	4	10	[1, 110]	[0.008, 0.746]	[1, 1, 1, 1, 8]	[0.006, 0.008, 0.006, 0.006, 0.055]	0.8343
0.10	5	1	[111]	[0.771]	[2, 1, 1, 2, 1, 5]	[0.014, 0.008, 0.008, 0.011, 0.006, 0.036]	0.8536
0.10	5	2	[111]	[0.773]	[2, 1, 5, 1, 1, 2]	[0.014, 0.006, 0.039, 0.008, 0.008, 0.017]	0.8646
0.10	5	3	[111]	[0.765]	[1, 2, 5, 1, 2, 1]	[0.006, 0.014, 0.036, 0.008, 0.017, 0.008]	0.8536
0.10	5	4	[111]	[0.768]	[5, 1, 1, 2, 1, 2]	[0.036, 0.006, 0.008, 0.014, 0.006, 0.014]	0.8508
0.10	5	5	[111]	[0.768]	[1, 1, 1, 2, 5, 2]	[0.008, 0.006, 0.008, 0.014, 0.036, 0.017]	0.8564
0.10	5	6	[111]	[0.762]	[1, 1, 2, 1, 5, 2]	[0.006, 0.008, 0.011, 0.008, 0.039, 0.017]	0.8508
0.10	5	7	[111]	[0.762]	[1, 2, 1, 2, 1, 5]	[0.008, 0.017, 0.006, 0.008, 0.008, 0.039]	0.8481
